sex,length,diameter,weight,age
M,91,73,102.8,16.5
M,70,53,45.1,8.5
F,106,84,135.4,10.5
M,88,73,103.2,11.5
I,66,51,41,8.5
I,85,60,70.3,9.5
F,106,83,155.5,21.5
F,109,85,153.6,17.5
M,95,74,101.9,10.5
F,110,88,178.9,20.5
F,105,76,121.3,15.5
M,86,70,81.2,11.5
M,98,76,108.3,12.5
F,107,81,136.9,11.5
F,94,71,95.1,11.5
M,100,80,132.9,13.5
I,71,56,58.1,8.5
F,88,68,90.2,11.5
M,73,59,51.1,8.5
M,90,64,76.2,10.5
M,71,56,49.1,12.5
I,76,55,45.1,11.5
F,113,88,187.9,13.5
F,110,83,152.7,10.5
F,123,96,232.3,11.5
F,112,88,185.7,12.5
F,116,90,199.1,12.5
M,118,89,186.2,13.5
M,121,95,187.3,16.5
M,115,85,172.7,12.5
M,116,94,199.5,11.5
F,136,112,327.8,16.5
M,133,105,267.6,19.5
F,136,110,359.6,20.5
F,141,110,341.9,14.5
M,93,71,95.9,9.5
F,108,95,243.4,17.5
F,90,71,104.5,9.5
F,115,89,176.6,12.5
M,71,58,65.5,10.5
F,90,67,85,10.5
F,110,85,170.3,15.5
I,48,35,14,6.5
I,41,30,8.4,6.5
I,42,30,8.4,5.5
I,78,59,40.6,8.5
M,94,74,115.9,10.5
F,92,75,92.1,8.5
I,65,49,32.2,7.5
F,105,85,167.1,10.5
I,104,82,119,9.5
M,80,64,60.6,8.5
M,97,72,108.3,11.5
F,94,72,95.5,11.5
M,81,62,77,8.5
F,100,80,132.3,9.5
M,89,70,88.5,9.5
M,94,77,117.9,9.5
I,49,38,17.2,5.5
F,101,80,116.6,8.5
M,90,69,82.3,8.5
M,101,81,125,10.5
F,106,82,139.3,11.5
M,85,65,75.7,8.5
M,104,80,116,9.5
M,95,71,96,9.5
F,113,88,183,13.5
F,119,99,257,14.5
F,95,78,106.1,11.5
I,62,47,30.2,7.5
M,111,85,153.3,14.5
F,80,64,70.6,9.5
F,119,95,249.4,21.5
M,114,96,237,12.5
F,121,90,219.6,14.5
F,120,95,201.5,16.5
M,119,95,188.8,10.5
F,120,94,184.4,11.5
F,111,85,157.6,12.5
F,123,95,220.5,15.5
F,115,89,188.2,10.5
M,124,102,323,13.5
F,104,85,197.7,17.5
M,119,95,263.5,22.5
M,116,90,202.6,15.5
F,114,93,259,13.5
M,125,93,239,14.5
M,112,88,172.9,11.5
F,92,71,103.4,10.5
F,115,90,195.5,13.5
M,113,85,162.3,16.5
M,111,88,151,13.5
M,119,93,223,14.5
F,125,99,252.4,11.5
M,139,112,298.8,16.5
M,133,107,321.2,15.5
M,107,87,145,10.5
M,94,75,104.6,9.5
M,94,74,104.5,8.5
F,95,75,115.7,11.5
I,72,53,46.3,8.5
M,110,87,168.6,16.5
M,106,87,176.6,16.5
M,106,83,144.8,11.5
M,121,94,234.7,13.5
F,104,82,145.4,13.5
F,109,86,160.4,12.5
F,100,80,133.5,11.5
F,102,78,126.7,10.5
F,87,79,72.7,10.5
M,99,79,108.3,10.5
M,93,72,86.2,10.5
I,87,64,66.5,10.5
M,85,70,78.6,10.5
F,109,82,138.7,12.5
F,106,83,118.3,12.5
F,98,75,122.5,12.5
M,88,68,80.4,11.5
F,112,86,176.5,10.5
M,81,61,52.1,9.5
F,94,73,84.1,10.5
I,77,59,50.7,8.5
F,103,85,153.2,15.5
M,74,53,42.8,7.5
I,72,56,35.1,7.5
I,54,39,14.6,6.5
I,75,55,47.6,7.5
I,77,58,50.1,9.5
M,140,107,345.1,20.5
M,142,108,391.8,19.5
M,119,96,252.4,18.5
F,88,70,80.7,10.5
F,65,52,38.3,8.5
I,70,52,42.2,8.5
I,53,40,19.5,8.5
F,85,66,81.2,9.5
F,61,46,31.2,8.5
M,69,51,40.1,10.5
F,81,65,71.1,10.5
M,75,57,50.6,10.5
F,113,89,165.2,11.5
F,110,90,148.2,11.5
M,130,104,268.9,17.5
M,112,91,159.4,12.5
M,95,75,103.5,11.5
F,98,76,109.8,11.5
M,92,70,103,11.5
I,56,41,25.4,10.5
I,35,26,6.3,6.5
I,34,26,6,5.5
M,118,95,210.6,16.5
F,121,100,223.7,10.5
F,127,103,274.3,11.5
F,121,97,211.3,11.5
F,113,90,197.7,13.5
M,103,81,144.4,11.5
F,115,92,198.8,14.5
M,129,97,302.8,17.5
F,116,91,181.5,14.5
F,115,92,224.8,14.5
M,121,93,211.2,14.5
F,121,97,244.4,14.5
M,122,97,248.9,13.5
F,145,112,428.2,19.5
F,130,109,350.4,17.5
M,145,114,510,15.5
F,145,115,424.8,21.5
F,136,114,368.4,21.5
M,141,112,396.2,15.5
F,136,103,323.7,13.5
M,139,110,391.3,15.5
F,106,79,155,8.5
M,105,87,213,9.5
F,104,81,155.2,9.5
I,47,32,9.6,6.5
I,72,52,35.7,8.5
I,63,42,25,6.5
I,63,49,28.7,9.5
I,45,32,9.3,5.5
M,116,95,194,12.5
M,114,96,187.9,15.5
M,128,102,273.6,22.5
F,112,90,204.7,11.5
F,124,95,203.3,11.5
F,129,102,313.5,13.5
M,124,98,243.6,14.5
F,126,96,210.5,13.5
F,126,100,276.6,11.5
F,126,96,239.8,12.5
F,117,92,186.5,10.5
M,123,96,231.9,14.5
M,122,97,204.5,13.5
M,116,90,185.4,15.5
I,71,55,44,9.5
F,102,80,162.9,11.5
M,100,81,154.4,13.5
F,101,82,128.8,12.5
M,128,100,260.7,17.5
M,112,90,184.4,16.5
M,117,92,184.4,11.5
F,90,69,83.3,10.5
M,100,80,165,14.5
F,100,80,126,13.5
F,106,87,163.1,14.5
M,84,67,73.8,9.5
F,88,68,96.4,10.5
I,80,60,63,10.5
I,87,68,75.9,9.5
F,105,83,166.5,14.5
I,74,56,53.1,8.5
F,98,73,126.9,11.5
M,67,50,36.2,8.5
F,83,65,76,13.5
M,100,81,123.1,10.5
F,97,79,132,15.5
M,110,81,160.5,11.5
M,90,70,92,9.5
I,81,60,64.8,8.5
M,94,72,100.2,11.5
F,83,61,64,9.5
F,89,65,91,10.5
F,94,70,103.5,12.5
F,98,75,115.1,10.5
F,89,71,97,12.5
I,85,76,65.3,11.5
F,100,74,90,10.5
F,78,58,61.1,8.5
I,73,54,41,8.5
F,116,93,220.3,12.5
F,106,83,156.6,16.5
M,111,89,167.2,14.5
M,113,88,180.5,15.5
M,125,101,289.1,23.5
I,55,43,23.1,8.5
I,88,70,87,13.5
I,59,45,24.8,10.5
I,15,11,0.4,2.5
I,26,20,2.6,4.5
I,22,18,1.6,4.5
I,32,24,4.2,6.5
M,113,85,188.5,18.5
I,54,40,20,6.5
I,46,35,12.9,6.5
I,60,46,25.5,9.5
I,66,51,33.1,9.5
I,70,52,34.8,11.5
I,64,49,31.7,14.5
I,72,55,39.5,10.5
I,61,49,31.2,8.5
I,69,54,42.7,8.5
I,66,50,34.3,8.5
M,118,94,224.7,14.5
F,119,91,212.1,13.5
F,115,92,218.8,16.5
M,120,99,248.3,16.5
M,112,90,202.2,16.5
M,112,90,214,20.5
M,109,92,179.5,11.5
F,127,101,283,16.5
F,118,95,220.3,14.5
F,108,95,185.6,12.5
F,114,88,173,13.5
M,106,84,178.9,12.5
I,49,39,19,5.5
M,54,40,24.1,7.5
F,92,76,127.8,12.5
M,104,90,179,15.5
M,70,55,58.5,9.5
M,94,78,127.1,10.5
F,90,72,99.9,14.5
F,128,105,355.8,23.5
M,118,100,237.4,17.5
M,124,97,243.8,15.5
M,126,101,305,16.5
M,126,103,251.8,14.5
M,131,108,368.8,23.5
F,132,106,269.7,13.5
M,122,100,328.4,19.5
M,127,105,296.8,21.5
F,103,85,142.4,12.5
F,107,83,168.3,16.5
I,72,57,48.3,8.5
F,91,71,89.9,10.5
M,97,79,125.9,15.5
M,103,76,191.3,15.5
F,107,83,175.8,11.5
M,106,87,139.8,11.5
F,99,80,128.9,18.5
M,88,71,95.5,10.5
F,107,87,162.1,11.5
M,108,87,199.2,18.5
F,113,101,255.3,13.5
M,122,95,223.2,16.5
F,113,91,202.6,20.5
M,120,99,211.5,27.5
I,59,43,25.6,7.5
I,55,41,22.1,7.5
I,56,42,21.3,5.5
M,98,79,109.8,12.5
M,74,56,46.8,10.5
F,81,61,69.7,10.5
F,108,87,178.4,14.5
M,74,56,50.4,9.5
M,72,54,43.4,7.5
F,94,72,94.4,11.5
I,40,29,7.4,5.5
I,33,24,4.3,4.5
M,129,103,308.3,14.5
M,110,82,152.1,15.5
M,114,87,181.1,11.5
F,126,97,248.7,22.5
M,112,88,194.2,15.5
M,119,91,266.1,20.5
F,124,94,245.1,24.5
M,126,97,260,24.5
I,90,71,91.7,9.5
F,127,107,248.4,15.5
M,90,70,73.5,11.5
F,116,91,167.3,19.5
I,66,51,34.4,7.5
I,53,42,19.3,6.5
I,38,29,7.6,5.5
M,77,62,56.9,12.5
I,53,41,21.1,6.5
M,67,53,44.4,8.5
I,71,55,50.2,8.5
I,64,51,35.1,8.5
M,102,80,128.7,13.5
M,72,59,48.2,9.5
I,72,56,45.1,9.5
M,100,76,119.1,13.5
F,80,65,63.7,9.5
I,60,44,24.2,6.5
I,47,35,14.1,6.5
F,148,120,394.8,17.5
M,124,93,268.3,12.5
M,120,95,217.5,15.5
M,118,90,256.6,17.5
M,124,95,265,14.5
F,113,90,200.7,16.5
M,115,91,233,15.5
F,124,102,269.5,15.5
M,124,93,254.8,13.5
F,101,75,113.6,13.5
F,92,85,149.2,9.5
M,98,78,141.4,14.5
F,105,84,151.2,10.5
I,68,52,40,7.5
I,75,61,54.3,9.5
M,122,96,240,15.5
F,122,99,230.6,9.5
F,117,90,173.7,23.5
M,114,92,190.7,13.5
M,116,91,186,10.5
M,127,103,255,17.5
M,140,116,426,21.5
M,135,105,317.4,14.5
F,129,105,361.7,19.5
M,149,117,499.8,18.5
F,137,109,353.6,17.5
M,121,98,245.4,19.5
F,118,93,199.4,13.5
F,130,105,284.5,21.5
F,120,96,205.8,17.5
F,124,100,237.2,13.5
M,126,103,203.2,20.5
M,116,93,177.4,12.5
F,116,91,214.7,11.5
M,126,98,226,13.5
F,138,112,343.8,18.5
F,130,109,313.2,17.5
F,132,113,352.1,17.5
F,136,116,357.4,20.5
F,140,115,262,15.5
M,137,104,268.6,14.5
F,135,109,346.9,21.5
M,126,98,235.5,12.5
F,117,90,215.4,11.5
M,113,93,199,16.5
F,122,99,221.7,13.5
M,121,94,228.1,16.5
M,107,84,158.2,11.5
M,97,80,132.6,11.5
M,94,75,111.3,13.5
M,109,85,168.9,11.5
F,91,74,98.5,10.5
M,108,84,147.7,13.5
M,92,76,96.4,11.5
M,98,84,121.8,15.5
I,93,75,94.2,10.5
I,83,65,64.3,11.5
M,95,75,118.6,11.5
F,94,75,112.3,11.5
I,73,59,50,10.5
I,69,55,39.9,7.5
I,78,62,60.4,12.5
F,100,79,143.1,11.5
M,94,76,117.3,9.5
M,107,88,135.3,13.5
M,117,91,197.4,12.5
F,97,73,117.7,10.5
M,103,91,144.5,10.5
F,87,65,86.7,8.5
F,103,83,138.7,11.5
I,88,69,73,8.5
F,105,88,168.5,13.5
M,90,71,95.8,9.5
M,118,97,182.2,17.5
M,111,90,183,12.5
M,114,88,165.4,9.5
M,118,100,220.9,16.5
M,117,95,189,15.5
F,116,92,198.7,12.5
M,109,88,171.3,13.5
F,121,99,247.7,15.5
F,124,94,206.5,16.5
F,126,100,262.7,21.5
M,126,103,270.4,21.5
F,126,100,201,17.5
M,109,82,125,14.5
F,134,108,300.3,15.5
I,98,76,105.8,12.5
F,98,78,115.7,14.5
I,58,45,20.2,9.5
I,52,40,18.4,7.5
M,116,90,213.6,14.5
F,122,97,218.3,19.5
M,120,100,203,20.5
F,112,91,188.6,22.5
F,115,90,209.5,19.5
F,114,90,191.1,19.5
M,120,94,207.2,21.5
M,113,91,181.3,19.5
M,109,84,150.1,23.5
I,88,69,73.2,14.5
M,100,82,132.4,12.5
I,72,55,43.4,8.5
I,77,61,50.4,15.5
M,78,60,61.1,10.5
M,100,83,137.7,14.5
I,72,55,46.7,11.5
I,67,52,38.4,9.5
F,101,85,170,20.5
I,79,59,54.3,11.5
F,82,65,72.7,11.5
F,112,91,142.8,10.5
M,113,87,196.3,14.5
M,113,91,185.3,17.5
M,121,100,219.6,13.5
F,113,91,164.1,19.5
M,145,113,378.2,17.5
F,135,107,282,17.5
F,133,111,287.7,18.5
F,113,98,184.9,12.5
F,129,110,258.3,15.5
M,115,94,167.5,12.5
F,128,108,244.2,16.5
I,72,56,39.8,10.5
I,83,62,59.3,11.5
F,105,82,141.7,12.5
M,76,57,53.3,12.5
F,117,93,198.3,13.5
I,48,37,14.3,7.5
I,44,33,10.9,6.5
I,51,39,14.7,7.5
I,35,25,4.7,6.5
F,134,110,278.1,13.5
M,131,106,277.6,14.5
F,136,110,348.9,18.5
M,135,111,287.7,22.5
F,106,88,156.7,10.5
F,103,81,129.2,11.5
I,86,68,71.5,10.5
F,104,81,125.4,12.5
F,109,83,154.3,11.5
M,106,83,147.9,18.5
F,93,70,84.2,10.5
M,133,108,269.4,18.5
M,147,118,351.2,22.5
M,132,109,264,17.5
F,140,117,361.5,30.5
M,115,80,186.5,18.5
M,114,93,169.8,16.5
F,116,92,199.1,20.5
M,126,96,202.3,13.5
F,117,93,181.6,14.5
M,110,90,184,12.5
F,125,103,248.3,16.5
M,108,84,161.5,12.5
F,114,91,211.9,15.5
M,118,91,214.6,15.5
M,116,92,184.2,14.5
F,131,102,257.9,12.5
M,131,106,252.7,16.5
M,125,100,273.8,18.5
F,125,100,190.6,16.5
F,128,104,249.6,13.5
F,121,97,202.1,20.5
F,123,105,207.7,12.5
M,111,90,174.8,11.5
F,116,88,170.8,13.5
F,124,104,236.7,24.5
F,124,94,223,16.5
F,120,101,225.8,14.5
F,125,97,234.9,18.5
M,120,94,221,16.5
M,112,92,167.9,13.5
M,117,91,211,16.5
M,112,87,177.8,12.5
I,112,89,174.7,17.5
I,136,106,221.9,11.5
F,91,70,103.7,11.5
F,98,76,134.5,11.5
M,62,44,29.2,7.5
F,55,39,16,6.5
M,54,39,20,7.5
M,80,58,55.9,10.5
M,56,40,18.3,6.5
M,65,46,29.4,5.5
F,69,50,40.6,7.5
M,42,30,7.7,4.5
F,72,54,37.7,6.5
I,73,52,43.6,10.5
M,40,28,7,6.5
M,47,32,10.9,5.5
M,35,25,4.8,5.5
M,31,22,3.1,4.5
F,114,89,146.6,15.5
F,114,90,194.3,13.5
M,77,60,48,10.5
I,106,84,150.4,21.5
F,92,71,91.6,14.5
I,94,74,94.1,13.5
F,87,67,76,10.5
I,94,74,99.7,11.5
I,93,76,90.8,12.5
I,104,81,115.5,12.5
M,58,46,23.3,8.5
M,55,41,18.8,6.5
F,75,58,54.1,11.5
F,100,75,120.8,16.5
F,88,71,83,12.5
M,84,65,57.7,16.5
M,89,70,72.3,9.5
F,76,58,51.4,11.5
M,64,49,31.1,12.5
M,51,39,16,9.5
M,41,31,8.5,8.5
F,113,90,159,13.5
I,111,85,175,12.5
I,130,103,232.5,18.5
I,123,98,197.7,14.5
I,112,88,160,13.5
I,96,74,102.8,14.5
I,97,78,118.2,10.5
I,100,77,125.3,11.5
I,105,81,159,15.5
F,132,100,238.1,13.5
F,132,106,265.2,14.5
I,104,80,132,14.5
F,88,68,72.8,9.5
I,103,80,131.8,14.5
F,95,70,90.4,12.5
F,109,83,146.7,12.5
F,94,71,109.3,15.5
M,70,51,35.8,11.5
I,97,71,116.2,13.5
I,87,66,81.2,13.5
M,56,42,21.7,8.5
F,82,64,77.4,12.5
I,90,70,94.8,17.5
I,90,69,88.6,15.5
F,118,91,213.2,21.5
F,114,88,190.7,18.5
I,122,95,193.3,11.5
F,122,95,226.6,12.5
I,112,85,183.5,11.5
F,117,87,196.4,11.5
I,116,89,177.3,12.5
F,126,96,273.5,18.5
F,125,98,246.6,12.5
I,110,85,161.2,15.5
F,129,105,292.7,20.5
I,92,71,98.7,14.5
F,82,61,72.6,12.5
I,99,78,133.1,12.5
I,104,85,136.1,11.5
F,110,82,165.7,14.5
M,90,67,92.5,15.5
F,81,62,61.9,14.5
I,102,80,149,14.5
F,74,58,50,10.5
I,105,82,174.8,19.5
F,132,104,302.8,20.5
M,107,84,139.9,13.5
I,115,91,170.5,14.5
F,110,86,142.7,10.5
I,121,94,187.8,14.5
I,121,99,210.8,13.5
F,112,89,196.2,17.5
I,107,84,185.2,18.5
F,77,63,57.2,11.5
F,78,60,53,14.5
I,94,69,97.7,12.5
I,103,78,111.1,13.5
I,85,69,85,14.5
M,69,54,39,10.5
I,97,74,91.6,11.5
M,74,57,45.6,11.5
M,70,53,35.5,13.5
F,88,69,81.7,13.5
M,39,29,6.4,5.5
M,65,48,31,10.5
I,99,74,95.5,19.5
I,90,70,105,16.5
M,83,69,77.3,14.5
F,94,71,86.6,13.5
M,64,48,34,8.5
M,62,45,25.9,10.5
M,47,34,10.3,8.5
M,69,51,33.8,11.5
I,97,76,134.6,19.5
F,100,77,135.7,13.5
F,100,77,99.6,18.5
I,93,72,99.6,16.5
F,105,81,131.6,13.5
F,85,67,64.4,11.5
F,76,61,56.3,9.5
I,106,83,188.8,22.5
M,68,53,36.7,11.5
I,95,73,98,10.5
F,86,68,78.2,8.5
M,92,73,93.4,11.5
I,94,72,104.5,10.5
M,72,59,42.1,10.5
M,71,53,33.6,9.5
M,76,47,51.6,8.5
M,71,52,38.1,7.5
I,88,69,97.4,15.5
F,102,80,114.7,14.5
M,65,48,34.6,8.5
I,124,97,235.7,14.5
F,118,90,180,20.5
M,66,51,37.5,8.5
M,90,68,74.3,10.5
I,89,66,69.4,12.5
M,66,43,22.9,7.5
M,96,75,155.4,10.5
I,92,70,97.7,12.5
F,95,72,89.4,10.5
M,51,36,15.8,6.5
I,67,49,33.3,7.5
I,94,70,93.2,12.5
M,62,45,26.9,8.5
F,74,56,46.1,11.5
M,59,43,25.8,8.5
F,111,87,194,18.5
F,123,103,228,17.5
I,116,98,263.3,19.5
F,117,95,191.7,12.5
I,130,105,325.2,19.5
I,107,90,156.2,12.5
F,83,68,73.5,11.5
F,76,61,56.2,13.5
I,90,71,82.4,20.5
F,79,59,44.9,11.5
M,91,70,96.7,12.5
F,97,76,121,16.5
M,110,85,183.5,14.5
F,90,70,108.5,14.5
M,95,77,123.5,15.5
F,100,76,131,18.5
F,106,82,162.3,20.5
M,98,78,114.6,22.5
F,98,77,157.3,24.5
F,104,79,128,23.5
M,108,83,148,13.5
F,100,75,118.9,12.5
F,90,76,163.3,24.5
F,74,55,44.5,9.5
I,74,55,45.9,8.5
M,97,74,114.5,11.5
F,87,65,78.3,8.5
M,107,81,166.9,17.5
M,102,80,130.3,11.5
M,113,88,181.8,16.5
F,107,80,160.9,14.5
F,107,81,185.4,17.5
M,105,80,146.1,12.5
M,118,88,191.1,12.5
M,100,75,127.2,11.5
I,51,38,17.3,6.5
F,86,65,77.3,12.5
M,76,58,56.6,10.5
I,33,22,3.8,5.5
I,63,46,25.7,8.5
I,31,21,3.5,5.5
M,56,41,23.3,6.5
F,86,67,88.8,14.5
F,79,63,70.3,17.5
M,77,57,58.1,13.5
F,96,77,107.2,15.5
F,89,66,90.5,10.5
M,79,59,63.2,13.5
M,80,60,83.4,10.5
M,83,65,83.4,11.5
M,63,50,40.6,12.5
F,69,52,41.4,11.5
M,72,59,55.3,11.5
I,59,45,22.1,8.5
I,65,50,35.2,8.5
M,75,60,49.3,12.5
I,56,41,22.7,8.5
M,71,53,40.2,9.5
M,70,51,38.3,10.5
I,55,40,20.7,8.5
I,58,41,19.5,9.5
I,50,38,15.3,7.5
I,36,25,5.3,5.5
I,30,20,3,3.5
I,32,22,3.6,4.5
M,111,91,211.5,14.5
M,111,88,218.4,16.5
M,105,82,198,16.5
M,93,72,97.6,12.5
F,98,72,100.1,18.5
M,80,61,59.4,11.5
F,96,75,105,13.5
M,101,80,154,14.5
F,104,80,130.3,16.5
M,105,80,165.9,12.5
M,109,84,175.8,14.5
M,104,80,164.6,16.5
M,101,76,131.2,14.5
M,105,85,173.3,19.5
M,102,78,131.3,11.5
M,104,77,133.8,13.5
F,104,81,128.7,13.5
M,107,82,172.4,15.5
M,89,69,75.9,11.5
M,106,88,167,15.5
F,72,53,41.3,9.5
F,107,84,147.3,15.5
F,104,81,163.5,18.5
M,106,83,168.5,21.5
F,106,84,200.2,18.5
F,132,104,335.2,18.5
M,104,77,131.9,10.5
M,107,84,161.1,15.5
M,139,103,303.3,16.5
F,102,78,122.4,14.5
M,97,71,109.4,11.5
F,121,92,224.4,14.5
F,116,91,227.3,14.5
M,130,103,296.1,21.5
M,124,101,305.5,14.5
M,123,105,227.5,21.5
F,121,99,287.4,16.5
M,114,88,223.2,14.5
M,114,86,212.3,16.5
M,117,81,251.3,16.5
F,110,88,189.2,17.5
F,108,88,191.8,18.5
M,128,102,322.6,15.5
F,122,94,230.6,15.5
M,109,90,195.6,12.5
F,118,89,226.5,14.5
M,69,54,39.4,10.5
F,110,86,157,12.5
F,106,85,189.8,18.5
F,106,91,196.1,12.5
I,97,75,104.2,9.5
M,77,55,53.7,9.5
M,91,68,92.4,10.5
M,98,76,152.1,11.5
M,106,82,146.4,12.5
M,101,77,135.5,16.5
M,98,76,127.7,14.5
M,93,70,115.1,16.5
F,94,72,107.4,16.5
M,112,82,186,14.5
M,101,77,128.3,13.5
M,103,87,176.3,11.5
I,77,56,48.8,7.5
I,43,31,10.5,6.5
M,110,83,208.4,16.5
F,103,78,115.1,10.5
M,99,77,141.8,13.5
F,101,78,128.8,10.5
F,120,93,177.5,13.5
F,114,93,178.7,11.5
F,97,75,111.2,11.5
M,94,74,102,10.5
M,115,90,184.3,13.5
M,116,93,206.9,13.5
M,103,81,139,16.5
M,106,82,143.1,12.5
M,88,67,78.8,10.5
M,104,84,149,12.5
F,85,69,73.3,12.5
M,92,68,99,11.5
M,90,67,69.8,11.5
M,85,66,88.1,10.5
I,74,55,44,8.5
M,103,76,132.3,11.5
M,81,61,63.7,8.5
I,56,41,20.3,7.5
F,96,80,151.8,16.5
F,88,68,83.9,11.5
F,104,82,161.4,13.5
M,101,81,175,13.5
F,98,73,136.7,22.5
I,47,35,13.4,7.5
I,51,37,17.6,6.5
I,63,48,34.3,8.5
I,65,50,34.7,8.5
I,67,50,36.6,7.5
I,70,54,41.1,7.5
I,70,50,36,7.5
I,72,60,54,8.5
I,73,55,48,8.5
I,74,55,44.3,7.5
I,76,55,27.5,8.5
I,77,58,62.4,7.5
I,77,60,57.9,8.5
I,79,58,63.8,8.5
I,79,58,60.8,7.5
I,80,62,61.2,7.5
I,82,65,78.8,7.5
I,83,64,74.7,8.5
M,83,61,65,7.5
I,85,65,79.6,7.5
I,88,73,100.2,10.5
I,89,67,97.9,8.5
I,89,65,75.6,8.5
I,90,70,109.4,9.5
M,94,75,116.1,9.5
I,95,73,109.3,10.5
F,96,73,127.9,9.5
I,97,71,99.6,10.5
M,98,77,121.8,9.5
F,99,82,151.1,10.5
M,100,80,119.5,10.5
M,101,88,165.5,9.5
